manifesto_id,sentence,label
53110_201602,We will seek European Investment Bank funding support for such an initiative with repayments on social housing coming from future fuel allowance payments.,neu
51340_201505,"Continue to strive for a comprehensive and ethical approach to the past, demand stronger parade legislation, seek equality on official flags and call for greater recognition of all of our identities and traditions.",pos
53620_199706,- Telecom Eireann’s strategic alliance has suffered grievously from prevarication and delay.,neg
64620_201111,"“National will link funding to educational performance, publish employment data for graduates of each qualification, and simplify the number of qualifications on offer.",neu
64320_202010,This will include creating and implementing a national plan of action to ensure tangible steps for government and all New Zealanders to take to help eliminate everyday racism and discrimination.,pos
64320_199010,"• RESEARCHED CLIMATE CHANGE  The Labour Government played a prominent role in the United Nations  Climate Change Programme, which followed the siginficant input made by  New Zealand in a series of working groups.",neu
51430_201912,Acknowledgement of the additional challenges for parents of twins and other multiple births and providing additional support.,pos
61320_202011,"We will take action to guarantee that when workers come to the table, they are able to bargain with the employers who actually hold the power, including franchisors, and penalize companies that bargain in bad faith with their workers.",pos
51620_199204,"I hope you will choose a different path - to go forward, not back; to go for the best, knowing that Britain can be the best and do it best.",pos
61620_198811,We will keep the United States a shining model of individual freedom and economic liberty to encourage other peoples of the world to assert their own economic rights and secure opportunity for all.,pos
53420_199706,"The progressive democrats want to see paft piloted in a number  of the more disadvantaged communities, especially in the major  cities.",neg
53320_200705,Make greenhouse gas emissions reduction a central tenet spatial planning.,neu
63621_202205,"Investing a further $2.8 billion in SA’s road and rail infrastructure pipeline – supporting around 2,000 direct and indirect jobs and bringing total funding since 2013 to over $13.7 billion.",pos
51110_202407,They must root out any officers who hold views incompatible with serving as a police officer.,neg
63810_202205,"Since July 2016, the ATO has raised $25.8 billion in additional tax from multinationals, large companies and wealthy individuals through these rules.",neu
64951_197811,"A Social Credit Government will finance more research into the theory and practical application of ecological principles in farming, market gardening, fruit growing and forestry; particular emphasis will be placed on recycling wastes and the best use of by-products.",neu
51620_199204,"- WE WILL EXPAND THE COUNTRYSIDE STEWARDSHIP SCHEME TO COVER THE CONSERVATION OF HISTORIC LANDSCAPES, MEADOWS, PASTURE AND HEDGEROWS.",pos
51320_199204,This will help the NHS to make real advances in care and treatment.,pos
51421_199705,Protecting the global environment Pollution and environmental degradation do not respect national borders.,neu
51901_202407,Plaid Cymru will introduce a broader approach to tackling bovine TB which includes controlling the disease in wildlife.,neu
64110_201409,"In the last few decades, New Zealand has suffered from a declining manufacturing sector.",neg
53520_200705,"Role of LAs We will facilitate bottom up involvement in tourism by strengthening the role of local authorities in tourism, including the appointment of full time tourism officers.",pos
61320_198411,"We need to establish a federal victim compensation fund, to be financed, in part, by fines and the proceeds from the sale of goods forfeited to the government.",neu
64951_197811,Finance will be made available to local bodies undertaking this type of work generally or to loan to individuals at 3% to carry out essential structural renovations to their own homes.,neu
51421_201505,"We will finally be building enough homes, every year, to meet our needs.",pos
53620_199706,There are four main issues:  - The price paid by the new partners for their stake in telecom Eireann.,neu
63810_202205,Twenty-seven new Connected Beginnings sites take the total number to 50.,neu
64320_199010,• CONTINUE URBAN RENEWAL  Labour will make good use of available land within our cities through filIin~ in under-used areas with innovative building projects which will improve the housing environment.,pos
64621_199610,"• Amend the Children, Young Persons & Their Families Act to impose stricter controls against repeat juvenile offenders.",neu
181710_201905,Prosecute officials and politicians implicated in corruption and other transgressions.,pos
51421_200505,"Building on our Maternity Income Guarantee, which will raise maternity pay for the first six months to £170 a week instead of £102.80 at present, these policies will give every child the best possible start.",pos
62901_199706,"In the same year, in the Ottawa-Hull region, Québec only received $215 million of the $1.69 billion spent by the federal government in R&D, representing a meagre 12.8% of total spending.",neu
63620_201905,"$35 million has been committed to research and develop a vaccine for rheumatic heart disease, which could save thousands of lives.",pos
181310_200904,As the immediate step it will ensure that at least 60% of schools are no-fee schools..,neu
61320_198011,"We will oppose any legislation designed to allow workers into the country to undercut U.S. wages and working conditions, and which would re-establish the bracero program of the past.",neg
