manifesto_id,sentence,label
61620_198411,"Together with our emphatic commitment to civil rights, Republican programs will achieve, for those who feel left out of our society's progress, what President Reagan has already secured for our country: a new beginning to move America to full employment and honest money for all.",pos
63810_202205,Strong action on recycling and waste The Morrison Government is taking practical action on recycling and waste.,pos
53620_201602,The brutal nature of knife attacks and their devastating impact on victims underlines the need to stamp this practise out and help protect communities.,neg
51421_202407,Support and promote the development of international treaties on the principles and limits of the use of technology in modern warfare.,neu
63621_201905,The initiative will benefit around 3.4 million businesses employing around 7.7 million workers.,pos
61320_201211,"We understand the terrible consequences of gun violence; it serves as a reminder that life is fragile, and our time here is limited and precious.",neg
51110_202407,These need to be used across all sections of the community to ensure sport is inclusive.,pos
64620_201409,Agreed in principle to establish a new entity to facilitate the development and growth of the social housing sector.,pos
53320_196906,"If they are not tackled now, there will be repercussions in the immediate future.",neg
62623_201910,"Review and Modernize Air Quality Standards To help Canadians breathe more easily, we will work to improve air quality standards.",pos
63621_202205,"In 2022-23 more than 70 per cent of all subsidies paid will go to families with combined incomes of under $150,000.",neu
62320_198409,The Liberals and Conservatives say the tax breaks will be used to create new Jobs.,neu
63320_201607,"Labor’s investment is targeted to improve the results of those students who need it most, including students with disability, Indigenous students, students in regional and rural areas, and students from low socio-economic backgrounds.",pos
63621_201905,We understand that small businesses find it difficult to obtain finance other than on a secured basis.,neu
61320_200011,We believe that all law enforcement agencies in America should adopt a zero-tolerance policy toward racial profiling.,pos
62320_201510,Establishing the Office of the Parliamentary Science Officer to ensure that parliamentarians have the best possible access to science-based analysis.,pos
61320_201611,We support President Obama’s decision to maintain a limited troop presence in Afghanistan into 2017 and ensure that Afghanistan never again serves as a haven for terrorists to plan and launch attacks on our homeland.,pos
53320_201602,"In the area of health, a total of 80 new primary care centres have opened or are completing construction with a further 73 planned.",neu
63620_202205,"Lower taxes and cost-of-living relief for families and retirees The pandemic, the Russian invasion of Ukraine and extreme weather events are putting upward pressure on the cost of goods in Australia.",neu
